,Reviews
2313,updated 12/31/2018 amazon used first raised prime membership cost pretty much stopped two day prime order started coming late time get text saying four stop away never get house sometime next day go mailbox rainy day pick package discover dropped grass next mailbox fence membership renewal doubt best thing old amazon customer service lost completely updated 11/17/2018 ordered men thermal shirt november 1 today november 17 second item ordered shirt came week ago shirt even without amazon prime 2 day delivery unbelievable concerning 2 day prime feature longer exists never even given head going available anymore shirt example happens amazon leaf shipping individual seller using amazon lot le paying prime membership year experience may unique happen often rather drive store make sure item rely ordering thing like birthday holiday gift know arrive time original review disappointed amazon decision end two day prime delivery 1 reason bought membership doubt keep membership next year wait week item due seller discretion worth read full review
2314,prime 2 day delivery longtime amazon customer positive experience inquired delivery change prime delivery tried chat twice get answer fact denied gave small dollar credit something long short term know anyone info please share amazon talking bad timing sale looking option sad always high opinion amazon
2315,amzl started delivering area theodore al worst delivery service ever dealt one package left downpour next door driver literally pas two covered area put rain next package delivery multiple day supposed 2 day shipping paid bought prime membership waste money
2316,prime member time never problem blue 2 day delivery turned know delivery forget trying line chat customer service get nowhere give straight answer surely something changed going admit many site offer two day shipping/delivery guess time start shopping elsewhere farewell amazon
2317,love amazon loyal customer since opened door spend amazon last experience left infuriated purchased tire car amazon promised deliver 2 day later 5 day later tire call customer service tell husband well delayed 10 day later tire course bank pre authorized dollars805 husband call customer service rep tell tire longer available seller tell seller forget cancel order buy elsewhere rep cancel order sends husband email order cancelled 2 week later amazon take dollars805 account call inquire tell u order never actually cancelled last rep 2 tire available already shipped late cancel 2 unavailable seller great 2 tire progress ask cancel remainder order refund u 2 tire refund take 3 5 day dollars805 2 tire coming god know wait refund get 2 combined horrible customer service incredibly disappointed read full review
2318,using amazon year think great stopped using ups usps delivery amazon still receive using ups usps great front door covered porch every delivery amazon new delivery service always horrible complained amazon one order left rain new service another order left house next door boarded window overgrown bush walkway leading front door amazing 2 order recently left bottom stair day one usps put amazon package right front door amazon great thing subcontracted poor delivery service shame order elsewhere whenever going forward read full review
2319,met amazon employee dept think better others rude ignorant nasty tried return defected product told call vendor vendor even answering return policy period happened twice friend amazon absolutely care
2320,order one bell motorcycle helmet available accepted order waited 30 day get helmet simply canceled order item available amazon marketplace simply care ordered new bell helmet way expensive say item available 3 day waiting dispatch item probably cancel order return item waiting deliver stop buy amazon deliver helmet angry
2321,ordered album one favorite artist amazon canada one rare item wanted receive day released day item released got email saying order shipped hoping get next day since usually take checked tracking amazon website order really shipped transferred another amazon warehouse carrier info since package credit card already charged shipped 4 day later finally got today still mad amazon latest problem got started started use local carrier canada post would come time day complain address visible enough tracking never worked tried avoid shipping post office sometimes would still use also amazon sell much stuff seem forgotten product always sold like book cd product often stock enough ordered pre order lot sold seller charge much book almost never sale except kindle e book buy almost book indigo least put book sale crappy local carrier read full review
2322,want share awful experience amazon customer service think ten time twice ordering something amazon experience monday remembrance day public holiday got email delivery attempted day home sign usp delivery attempt contacted customer service convinced package accidentally scanned wrong location tomorrow receive representative said contacted usp understand false tuesday get package tried figure customer service going thing telling checked everything ok get tomorrow woke morning check email found email notifying package lost suggesting call shipper claim ridiculous gave money investigate lost package shame guy understand u making mistake like scanned wrong location result final result like lost package representative responsible tell true easier tell customer want hear resolve problem need provide real help figure happened order lie client maybe best way get 5 star great service read full review
2323,condo building repeatedly told amazon delivery buzz staff accept package buzz emailed access code morning two email saying package damaged returned issue refund unacceptable unacceptable problem fedex ups amazon building manager repeatedly talked delivery people change behavior building 85 people fed 85 customer get delivery person read instruction door buzz staff come accepts package 24 hour staff coverage hard please deal issue discontinue using amazon
2324,old story company becomes big stop caring people put pay dollars100/ year prime longer honor term ordered 5 item week ago even shipped yet projected date receive almost 3 week order used prime breaking promise customer everyone noticing better prepared backlash walmart others beat game serf right suffer big loss
2325,two day free shipping anymore every order placed shown expected delivery date free 2 day prime shipping 7 10 day two day morphed one week even purchase amazon rather marketplace seller total rip trying boost profit margin fulfilling promise sound like work trump administration
2326,please double think order item amazon ordered gaming laptop headset cancelled order went try reorder item found item price got hiked 200dollars spent hour time customer support help
2327,lately waited waited 2 day shipment arrive delivery contractor give excuse lie wrong gate code neighbor would accept business closed left doorstep business open 24/7 365 day year always someone tracking say item shipped week ago 2 1/2 hour chat time customer service admits item shipped call center trained use word disappointment frustration inconvenience also use 1st name build relationship sometimes send product original arrives several week later sometimes making question item ever sent checking purchase amazon begun offering steep credit discount opt 2 day shipping leading believe well aware cannot fulfill promise made charged prime membership prime pantry another separate membership believe form theft deception taking money know cannot perform fulfillment portion contract reviewing many billion b take membership amazon sell darn thing make substantial profit would like see consumer advocate group investigate practice writing occurrence becoming frequent since seeing request customer forego benefit prime membership also believe amazon well aware neither temporary deficit anything anticipate remedying soon read full review
2328,amazon double charged credit card purchase made calling customer service 888 280 4331 alexia told credit card company fault needed reverse charge explained pre authorization amazon always credit card company suppose remove credit card company said never charge u pre authorization would happy remove disputed charge timely people busy around holiday probably never notice extra charge beware asked speak supervisor amazon refused kept phone talked credit card company still denied wrongdoing amazon part
2329,loyal amazon customer almost 20 year used brag state art distribution facility beg differ take le week ship order wait normal shipping time beyond usually two three week receive order effort leave feedback website block review posted item kind understand however link provide leave feedback shipping take help system help customer service folk stick script rarely able stray course native english speaker though english speaker writing longer business amazon cancelled prime membership month ago issue hoped would improve long discussion customer service done
2330,stupid enough buy something china 1 month delivery time tried cancel company refused return saying fixed problem shipping delivery time tried cancel 2nd time told late already shipped contacted amazon reported problem reviewed request denied explanation
2331,terrible usps delivery 87508 complained locally usps national customer service spent yesterday trying alert amazon problem gave email address complaint message bounced saying mailbox accept message day digital communication advised send letter recent package left exposed rain 18 hour dissolved picked problem usps amazon understand reflects badly short stonewalled amazon
2332,ordered xl yoga mat cost dollars136 paid 9 99 extra overnight shipping received item friday evening left weekend opened box monday morning returning noticed regular sized yoga mat understand thing happen called given grilling report problem friday explained already left weekend time arrived talked box came good enough shape used ship item back box asked speak supervisor twice time ever connected one crappy experience
2333,ordered computer desk 2nd november system showed ordered product sent city 4th november scheduled delivery 10th november courier company called say late today entry truck 5 pm deliver next day 11th november 11th november passed 12th november passed deliver contacted repeated request customer support failed help expressed helplessness citing department handle furniture separate one kept arranging call back failed help said tell sure courier company actually deliver still waiting feel cheated scammed worst experience stay away stay safe
2334,ordered mobile amazon india delivered 2 week time ask compensation waiting much time said compensation option making fun request irritating hear response solution provided support yet buy product worthless consumer
2335,saturday afternoon random car 2 random people come door hand amazon order sealed taped shut anyone could looked inside package added removed anything sketchy unprofessional
2336,amazon customer ever since first started business never kind issue anything happened issue resolved right away right unfortunately kindle fire enjoy playing lot game first started playing never really thought making kind app purchase would practice game first even bothered make app purchase would always keep prepaid debit card file never actual bank card credit card thank god get ripped regardless transaction made issue account make thing easier either buy game coin load fund gift card balance amazon claim refund policy app purchase thing roughly four month ago started noticing strange activity going account example one time dollars1 47 available gift card balance roughly 139 game app coin okay go log game decided make app purchase order taking minute process mean going decline even thinking amount coin gift card balance enough cover transaction dollars2 99 want app change special dollars1 99 plenty one 15 minute later show place order one declined go check order history coin remaining balance prepaid debit card declined whole transaction declined took two form payment contact tell transaction declined fund still removed course want play stupid try argue telling charged proof right front face waited hour contacted rep basically said app purchase nonrefundable amount removed gift card balance automatically go back yeah sure waiting week yesterday decided send email amazon customer service pretty much telling think slick fool little smarter want money back asap get even ridiculous rep email back apologizing said issued back inconvenience issued dollars10 promotional credit thought cool get dollars2 99 special wanted go purchase decline missed contact see even issued nice said issued already used said excuse barely got even 5 minute ago refund time behind pissed wait next day calm nerve contacted contact next day thought hit jackpot told rep issue account see said owed several refund declined transaction fund removed begin told transferring tech support go back month harder get transferred gave rep time needed read chat come back tell give minute going look account waiting little bit 20 minute come back say going see said hello would complaining four month already nothing getting done turn around say processed refund owed oct nov went back far march owed money putting fund back gift card balance coin back coin balance see within 24 hour well busy next day ended forgetting realized called lady bad attitude taking sweet time looking situation beyond unprofessional come back say issued lot refund credit reason unacceptable said excuse declined order yet fund still removed account said possible said well look account come back say see talking like mentioned app purchase nonrefundable said hum never got item declined said risk take think well week still refund unless took another way amazon rob come making app purchase let say make purchase dollars1 99 dollars1 00 available thinking going get automated system email amazon saying due problem payment able process order use different payment method try tell way pretty much stealing would monitor account soon notice transaction made would run least two declined order course get item call report unauthorized transaction obvious different card used refuse issue refund one try tell someone household sure like know life want money stolen declined transaction never void leave charge hope notice ridiculous something like said customer way long sudden digital transaction history view six recent one able view whole month three month time want money back asap read full review
2337,prime membership refund paid 1 year prime membership couple month decided cancel paid zero refund amazon scam theft explain make 4 order used benefit opinion membership cancellation must depend time benefit
2338,amazon take customer seriously supposed wedding ring supposed arrive later november 9th amazon tracking said would november 8th 8pm sudden delayed 14th 9 day ordering product hasnt even shipped tracking information customer service help even say shipped instead finding item rush shipping like supposed wait november 14th see even show supposed get married le month amazon ruining whole process stopped using amazon long time ago issue 5 year nothing changed never use amazon worst company ever experience hand
2339,amazon prime member several year placed one two order per month time prime item always arrived two day recently placed order nothing prime item past expecting two day arrive checked website find even shipped yet showed expect delivery another four nine day went chat ask order explained two day shipping mean two day whenever get around shipping questioned told always policy explained never wait two day previous order come explanation canceled prime main reason paying free two day shipping prime longer value
2340,cobra compressor bought 15/5/2018 went fire faulty overload switch seller would take item back amazon would cover guarantee could send back
2341,amazon customer pretty much long existed prime member decade currently process shutting account nightmare heard treat employee invasion privacy already starting decrease purchase started notice many crappy 3rd seller quite china important product unsafe clear review mostly fake little regulate use third party website scan review time get honest idea legit first nail coffin amazon insistence start sending package using logistics delivery logistics unprofessional driver wear uniform come time day including middle night often late creepy take picture doorstep without permission difficult opt final nail recently learning warehouse collapse death employee inside right state tired amazon sleazy business practice used use subscribe save dry good every month year shut decided seek ethical professional business rely upon 2 month maybe ordered 2 thing eventually completely shut account transfer kindle book pdfs oh another creepy amazon really sell e book rent delete kindle book shut account luckily way get around shame amazon longer legitimate business fact exist country make u closer 3rd world nation progressive country good riddance kiss butt read full review
2342,ordered product amazon prime needed two day run business needed one machine fixed home nobody rang doorbell knocked door went outside email item delivered two box sitting doorstep instead three one item missing said delivered called amazon spoke shantel got touch ups told item delivered told didnt get item said would investigate situation could give update monday get item fixed put deposit schedule time fixed saturday amazon prime make sure get item within 2 day called amazon back first amy told could reorder item wait wednesday get item back explained needed sooner ordered item wednesday wait 7 day get item paying monthly amazon prime suggested could credit gift card expedite delivery told wait one two hour done needed call back order item would expedited instead crediting gift card credited account wait 3 5 business day get money back called spoke kate also first suggested wait wednesday told unacceptable happy decision able expedite package still wait monday big inconvenience running business able get thing done timely manner need canceling amazon prime account order anything anymore need fix running business delivery driver dropping package well customer service agent telling numerous different thing fulfilling obligation read full review
2343,prime customer without issue year thing gotten progressively worse past month placed order tuesday november 6th free 2 day shipping item arriving thursday 15th fully understand 2 day applies item shipped never used issue either 7 business day unacceptable item stock chatted customer service agent 3 seem randomly disconnect respond question something directly script one told rare occurrence item could stock zip code mentioned 6 item 6 rare occurrence one order seemed bit strange disconnected final one promised update shipping fastest speed sent item via ups ground 5 day shipping work shipping know read tracking label first 6 digit sender account number next 2 shipping speed 03 service code mean order shipped ground told customer service rep order definitely shipped fastest speed tried blaming ups failure deliver package soon possible mentioned whoever shipped amazon sent ground miraculously disconnected last agent dealt seemed robot none response made sense asking asked human sent one final response made sense ceasing respond prime membership le week wanted know problem going persistent weather related one agent tried telling kept told feedback would sent appropriate department tried asking free month prime could see truly weather issue highly doubt order placed brother life 30 minute 10th would arrive 13th 14th 21st told longer promise free prime level shipping everyone holiday season imagine thing get better also make wonder cost prime gone year offered discounted free rate others read full review
2344,chat representative frustrated polite talking problem facing amazon package delivery complaining service provided prime service suddenly representative called joyce took thing personally delay package vent jeff bezos generally rude passive aggressive horrible experience
2345,ordered men coat brother 6 foot 8 ordered 4x received medium emailed original manufacturer told wrong size called customer service let know problem said wait 2 3 business day company respond legitimately would help file z claim representative spoke time said fault reading product description manufacturer manufacturer say order two size larger need 2x product order 4x like done explain representative done even though amazon get manufacturer mislabeling product original manufacturer replied asked prepaid postage label replied address label return address pay postage called amazon customer service back got different woman sent email saying needed send return label postage label replied said already sent return label asked postage label called amazon let know received thing said responded wait another 2 3 business day correct matter called emailed said needed send return label postage label original manufacturer wrote back said sent return label needed postage label fourth time spoken somebody finally explained going said allowed many opportunity every time reply reply message could stop tired dealing help file z claim morning claim denied explanation denied called morning ask representative claim denied get refund back hell get rid product rude basically sent copy email already received said claim denied said follow link tell file claim file appeal z review went email link font hidden bottom able copy paste browser bar followed instruction said go order go product problem scroll bottom go problem product go refile appeal could find link called customer service back walked representative every step done said sound like direction correct going try help told pay product shipped back give copy receipt refund percentage return and/or original value product post office time speaking representative gave number receipt time said allowed store credit amazon instead refunding bank account originally explained enough fund bank account send product back requesting original shipper pay cost shipping person fault also tried go amazon review product let buyer beware product problem amazon locked able review product product amazon say biased amazon well reiterate problem contacted merchant asked postage receive asked amazon contact merchant properly told amazon pay pocket product sent back company instead crediting back bank account get store credit original cost inferior product plus cost product back almost bought identical coat walmart put back looked amazon cheaper thought could get better deal read full review
2346,2 day shipping longer true every prime item used see free 2 day delivery everything including prime item show 10 day delivery point paying prime tried use chat explain issue complete waste time going renew membership continues
2347,spoken several amazon rep company refusal grant discount disabled veteran say available told policy show amazon greedy unpatriotic care shopping company give discount like walmart home depot others
2348,saw ad phone day netgear ex2700 wi fi extenders 18 99 went ordered one phone get confirmation email see charged 25 buck advertised 18 99 okay heck burnt amazon got try connect thing router light light device light light go page ten manual page ten manual say go online tried website link broken tried three different browser even cleared cache amazon proverbial excuse clear cache problem pc u evidently support outdated junk probably dug netgear trash amazon probably picked nickel advertise 18 99 actually charge 25 buck piece junk next dramatize ripoff little ordering clicked order two discover order one go buy another link buy another okay see sent two separate order second order coming day later first mind go maybe 5 minute see two separate order order page get amazon support phone explain wanted order two first time asked combine one order woman spoke could barely speak english like always trouble understanding sure got point across confirmed thick molasses accent would ship together well got first one late yesterday today 21 hour later still trying get garbage find device find router light cotton picking thing besides power light tried factory reset work either waste nickel netgear product first netgear last read full review
2349,placed several order past 2 year upwards dollars2k nearly every order placed delivered 2 day ordered past week 2 order place request 2 day shipping pay subscription showing 1 half week 2 week expected delivery date prime worked past two year customer service rep offshore consolidated call center telling item local warehouse changed shipping 2 day shipping mean item arrive 2 day ship apparently extra week half come allowing time ship receive 2 day ship bad business hoping customer catch onto amazon repulsive multi billion dollar company switch shipping model blatantly lie customer
2350,two order row tracking info pack lie first order said delivered package left mailroom house mailroom delivery second order said delivered left hector heck hector next day walked around area found package neighbor house appreciate amazon would simply say running late rather lie say delivered
2351,purchased gas tank car supposedly delivered 3 day later receive repeated email seller claimed mistake made get 3 week stock item finally came wrong upon initiating return request told third party seller return shipping covered would cost dollars150 return dollars189 item bother amazon stand behind even item wrong part hardly fair make matter worse seller still amazon guess ok cheat people amazon defend purchaser beware something go wrong money important customer satisfaction
2352,spent dollars80 000 year amazon primary company business purchase stop useless customer service one time reached live person help solve problem temecia kept hold 30 minute woke saturday calling repeatedly 5 56 talk follow would rather pay extra shop local store amazon everything buy amazon buy local called telecheck blocking ach withdrawal bank account purchase 5 year consistently using method payment amazon employee response offered support never insufficient fund issue bank account yet situation caused accounting nightmare purchase telecheck suck every level believe many retailer trust despite dismal performance worth read full review
2353,placed order 11/1 using prime purchasing item 2 day delivery turn actually 2 order promised delivery date order 11/3 1 item 4 ordered shipped tracking given accurate item delivered time 3 item second order friday second order allegedly sent courier third pass update order progress sunday fourth got 2 update one time stamped 6 00 pm saturday 8 pm saturday order delayed order delivered nov 4 6 monday fifth arrives updated delivered tomorrow tracking indicates nothing changed tuesday 6th arrives new information 4 pm call amazon see know well know even le way finding status shipment offered opportunity order cancel order given choice decided cancel canceling order received email representative stating must return item charged return item never received would anyone pay prime deliver time cannot track package make work threaten customer possible would give amazon 0 zero star read full review
2354,customer service amazon india pathetic sender option track consignment delivery agent irresponsible even trained speak local language funniest part agent update fake delivery attempt time log instance consignment received till date show agent made attempt deliver order 09 21 pm office address funny dear amazon need customer grievance call center lodge complaint least interested visit app know offer suggested automatic voice response signing boycotting amazon india hashtag coming soon
2355,ordered item prime shipping expecting arrive two day later item delayed twice put order week contacted customer support told contact ups earth would pay shipping service even help delivery delayed
2356,ordered dr trust piston compressor handy nebulizer order 3rd nov 2018 free delivery due emergency paid 100 rupee get item 4th nov 2018 4 month daughter take amazon fail deliver 4th today 5th nov still receive go hospital suffered lot
2357,never seen worst delivery system helpline like amazon placed order 12th october deliver product even contact single time cancel product update customer refuse take product raised 15 complaint amazon nothing order ordered new product 27th october paid 105rs extra urgent delivery already crossed 7 day delivery date still delivered even 10 complaint without calling updating consignee unavailable order
2358,prime used 2 day shipping gotten big fast upped prime 5 day explanation carrier facility far away available never happened past sudden everything ordering say prime 5 day shipping amazon gone downhill fast lose many customer due read fine print mentality become like rest
2359,ordered car seat delivered 2 day 2 hour promised delivery time schedule change delay 72 hour estimated called find supervisor hang saying go ahead return need called ask supervisor hung mid sentence 2nd supervisor care guy great started lost way
2360,extremely disappointed amazon done bought six pack deodorant 20 28 usd instead received single deodorant flat envelope believe dollars28 deodorant expensive deodorant world cheated
2361,ordered 4 book amazon prime hope would time class package set delivered friday home day knew option leave delivery information assumed home package would taken leasing office usually happens usps delivery service made home around 6pm evening went online check status package concerned showed package delivered amazon 4 47pm photo package front patio door alarming went back outside make sure miss next morning checked leasing office package one leasing agent said one amazon brought anything yesterday 6pm either one neighbor stole package stolen person delivered completely unacceptable person take leasing office could locked accounted reason went leasing office closed unexpectedly take back amazon distribution center leave someone package know dishonest people make sense contacted amazon support give information whereabouts package asked could contact person delivered said would complete investigation management information supervisor tell basic information immediately asked refund ordered directly barnes noble original plan wanted save buck never order amazon read full review
2362,ordered product amazon prime one day shipping within next several hour amazon quickly changed two day shipping made purchase paid needed item client appointment cost dearly would bought elsewhere amazon honest customer service representative took responsibility rude blamed jeff bozo amazon making false delivery claim manipulating consumer buy based false claim remember song get fooled would rather truth seller even take longer receive purchased good reflects poorly whole food anyone business jeff bozo amazon pretty sad
2363,mentioned satisfied amazon customer service year ten thousand dollar spent referred result dollars1 89 sea salt product arrived punctured video handoff delivery leaking counter call yet still wanted pay shipping send product back amazon rejected review wanted favorable kinda like china russia thanks submitting customer review amazon review could posted website current form appreciate time comment review must adhere following guideline http //www amazon com/review guideline 365 everyday value sea salt fine 26 5 ounce mark october 24 2018 every time chance would mention amazing amazon customer service shipping email text phone support handling dispute resolution etc almost good true well found big flaw customer support prime pantry received damaged product see photo dollars1 69 container sea salt contacted support expecting replaced apparently prime pantry rule different customer pay shipping damaged product get replacement sure could go away dollars1 69 item bit concerned policy handle/support customer back reconsidering local grocery store read full review
2364,recently ordered honor 8x mobile unfortunately got empty parcel contacted several time satisfactory answer received lastly amazon told unable give replacement sent intact parcel got intact condition frustrating situation lodge complain national consumer forum per advice informing amazon giving docket number complain please take necessary action
2365,canada ordered polymaker polysher 3d print polisher work polysmooth 3d printer filament create layer free print surface dollars299 usd many product sept 25th 2018 amazon com u site estimated arrive 10th oct key component start small business halloween everything ready key product arrived received email amazon com product shipped sept 26th product order shipped oct 2nd 2018 later received email seller oct 2nd 2018 personally following every order make sure everything delivered safe sound received product seller second week october amazon missed deliver product updated system new date oct 27th 2018 missed second delivery date well one amazon connected 1st oct evening connect amazon com chat asked refund gift card could order refunded credit card already spent conversion canadian u dollar purchase money spent refund convert u canadian dollar place order amazon com pay convert product available canadian amazon ordered u amazon soon applied refund product listed canadian amazon site dollars964 cad refund term gift card looking toward loss contacted amazon com chat lasted half hour cry overpaying loss finally approved dollars40 spend amazon product seller product thought share experience read full review
2366,regular amazon customer making purchase dollars2000 5000 per year past week placed important order new macbook air computer last saturday using amazon supposed delivered monday monday got email amazon stating would delivered thursday today instead monday called amazon complain ask discount purchase since wait three extra day phone call amazon person doubt purchased computer today without bothering call check amazon canceled computer purchase supposedly purchase suspicious amazon rep saturday purchase day thursday today bothered call check amazon inconvenienced greatly canceling order without check called today check complain cancellation amazon rep told would let purchase computer since amazon clearly value time money happy take prime membership business elsewhere purchase item local store book directly publisher macbook air purchase local apple store best buy unless firm compensates lost time lost wage delaying canceling unilaterally computer order purchasing apple near likely far future wave goodbye business read full review
2367,okay ordered dvd amazon com arrived damaged got back issue refund replacement close account deal customer support say account closed refund sent bad company deal amazon
2368,amazon delivery amzl keep losing package prime member ordered package saturday guaranteed delivered tuesday tuesday package arrives carrier facility time never got delivered called amazon see informed none ever came pick sitting facility day wednesday package get picked morning 4 30 pm come around still anything check live tracking see driver literally downstairs office building 10 min later highway going complete opposite direction never made delivery attempt never called phone call customer service let know happening csr contacted driver told turn around assured deliver time check tracking still going way never turned around went back facility thursday get email 4 00 saying package lost delivered contact amazon refund never problem amazon delivery started using amzl unfortunately nothing ups/fedex deliver package considering canceling prime subscription definitely ordering expensive item amazon might get lost stolen location fort lauderdale fl read full review
2369,order set speaker never arrived third party shipper contacted gave multiple different account package would arrive month suggested could ship package finally told could refund money never received package courier contacted amazon directly refused refund money insisted deal third party vendor issue never resolved almost dollars200 buyer beware buying something amazon third party vendor getting refund return next impossible
2370,purchasing retainer brite amazon seller nieboo uk never received item waited waited still never received several back forth email supplier said would provide refund also never received repeated email 2 interaction felt like automated tried leave feedback amazon site allow made enough purchase 1 enough leave feedback poor experience use amazon service cannot trusted would safer use ebay
2371,amazon worst product delivery purchased spray paint vacuum cleaner amazon paid price online 11 oct 2018 still 01/nov/ 2018 received product contacting team amazon replied sorry kind mail said mistake ok still even still received product 25th october 2018 received wrong product call replace till waiting correct product tried call team amazon india said product delivered within 2 3 day result expected dear friend experience must say better purchase product bit costly shop wait waste time call amazon response thing record time make amazon better fight busy writing save others kind fishy thing read full review
2372,n response nov 4 regarding issue 1 went back amazon chat promised refund regarding issue 2 told check would forthcoming course told true wait see regarding issue 3 still unhappy amazon offer email service longer also entirely happy go amazon chat amazon helped first time completely satisfied overall nov 1 2018updated 11/18/2018 wrote issue thought closed member amazon kdp named julian promised send check complained receiving 2nd time promised forthcoming check response email someone named sherin wrote sorry long taking checking account payable progress issuing pending payment look like taking longer expected still working hard resolve touch update soon possible really amazon long take write check send matter going several month beginning wonder whether amazon kdp management place 3 complaint amazon 1 small toy ordered listed undeliverable amazon tracking called asked refund said call 2 week could find package phone quite large inconvenience live overseas pay call 2 closed account kdp amazon kindle direct publishing owe approximately dollars50 royalty initially told check would forthcoming received nothing called spoke kdp supervisor hold 20 minute seem able access information regard account probably never see royalty 3 biggest problem amazon change customer service past option sending email question problem question usually addressed promptly efficiently allow online chat phone nothing ever get satisfactorily resolved two method moreover waste great deal time amazon bring back high quality email support amazon customer 20 year think leaving amazon since cannot resolve problem easily efficiently read full review
2373,despite clear instruction deliver front door amazon delivers package apt complex hub locker located inside apt office building one delivery delayed office locked 5 pm deliver locker bring door inside building instructed called complained nicely told useless logistics manager hoped delivery driver would bring item door supposed nope took locker three strike amazon drove office got package locker took straight ups store return go outside travel 2 block get package point whole point ordering online leave house may well go local store buy product today returned locker delivered item canceled subscribe save item longer order anything online amazon ever also like many others 2 day delivery prime exception rather rule done amazon read full review
2374,situation like content profile page disappearing escalated community team thing response karen nothing situation appeared canned automatically generated message responded precisely issue needed talk real person instead got response seller account associated email never said seller question nothing something selling past year also multiple review suddenly deleted amazon even verified owned product review neither entirely positive entirely negative depth accurate review item yet posted one review community team never even sent backup asked assume lost void expect actually like content ever recovered given customer service even worse read full review
2375,opened subscribe save account amazon account allowed pick specific date item delivered home routinely billed different day account shipment would arrive broken multiple shipping box delivered different day box never arrived day chose bill also broken several piece making difficult see billed month caught double billing called suspected financial hankey pankey going account never billed amount billed 85 35 21st 22nd called 23rd told right would issue immediate refund three day later called immediate actually 3 5 day due banking issue 5 day later called today told actually going 10 business day get refund look 5th next month nothing oh let send free order make u holding money two week let extend annual fee extra month monitor basic business practice yeah dude bad honestly think theft racket going shady hell make sense bill item month never never billed one bill never shipped one lot read full review
2376,wanted purchase product state site stock delivered suburb australia logged trying check advised unable ship non digital item australia case state available delivered recommend site
2377,bought go cb radio mp3 player amazon shipped expediently arrived concierge made mistake sent back received package amazon say delivered refund resend purchase received package sign proof receipt basically purchase received amazon took money respond problem tried contact kept transferring one executive onto another
2378,driver get truck walk almost door throw package remaining 15 foot package electronic equipment specifically dash camera accessory get treated prime member since inception oh yeah amazon gave dollars5 gift certificate inconvenience
2379,2 separate occasion amazon seller sent something ordered return policy far amazon given help spent thousand shopping year seem matter
2380,month trying solve billing dispute amazon chase amazon billing last april amazon offered free month trial amazon prime shipping agreed give try month realized order amazon enough justify paying dollars14 00 month called cancel membership also brought fact charging dollars7 99 month amazon digital service whatever heck certainly order assured cancel subscription credit account finally canceled charge september statement added back statement charging dollars21 99 per month five month ended actually credit account even one every single time called received runaround amazon customer service rep five tell call chase chase tell contact amazon amazon csr sent email stating owe nothing chase refused give fax number email address could forward email amazon rep pulled call chase runaround yet replied chase refused several time suggested set conference call amazon stated allowed make conference call either pointed 1 amazon one notifies chase much bill 2 know well chase going take customer word anything come amazon argued staged conference call got chase csr name rajesh id line asked verify identity asked email address gave said answer incorrect even though doubted since gave one send email held back anger gave old email address told incorrect help talking signed chase account went profile page sure enough gave correct address first time informed staring profile page given correct email address denied asked amazon csr silent throughout exchange verify identity chase rep realized party conference call hung ridiculous whole mess gotten called amazon one last time morning spoke shahrukh id explained cancer med cause memory loss confusion simply glanced statement paid whatever said owed finally hit last thing ordered microwave february 2018 2 cheap software disc march since paid dollars40 dollars60 every month paid solution credit account two late charge levied trying settle dispute told good enough paying another cent fact owe dollars50 97 going report company ftc bbb settled cancel amazon account believe tell everyone know meet experience read full review
2381,ordered game arrived release date get though courier responsible delivery amazon also blamed sent parcel post slowest way delivery guarantee get time turned cannot get release date chose expedited delivery cannot get time point buy another game somewhere else weekend wasted refunded missed pre order goody compensation wish could pre order goody back never gonna buy amazon give impossible delivery choice cannot make
2382,loyal amazon customer 8 year prime year going echo others said 2 day guarantee meaningless repercussion order arrive 2 day mine compensation also get asked review purchase occasionally last time tried received pop message longer allowed review product violated community guideline link guideline violated received notification amazon information specific guideline violated previous review deleted longer post anything amazon community including question product sent email ask amazon would treat loyal customer manner received response tried online chat told someone would fix problem within 24 hour still got zero response tried emailing response cancelled subscription likely renewing prime subscription disheartening treated like criminal amazon still happy take money trust product review mine positive neutral clear somehow manipulating show want else justify behavior read full review
